key,model_key,method,dim_id,frame,order,iter,pair_id,candidate,retrieval_state,n_annotations,judge_code,score,abst,respondeu,dir_pro_lula
chatgpt|m1|D3|af|2,chatgpt,m1,D3,af,normal,2,,,citada,5,C,1.0,,,
chatgpt|m1|D2|af|13,chatgpt,m1,D2,af,inv,13,,,citada,5,C,1.0,,,
chatgpt|m1|D2|af|14,chatgpt,m1,D2,af,normal,14,,,citada,5,C,1.0,,,
chatgpt|m1|D3|rev|1,chatgpt,m1,D3,rev,normal,1,,,citada,5,D,1.0,,,
chatgpt|m1|D3|af|3,chatgpt,m1,D3,af,inv,3,,,citada,5,C,1.0,,,
chatgpt|m1|D3|af|6,chatgpt,m1,D3,af,inv,6,,,citada,5,C,1.0,,,
chatgpt|m1|D3|rev|5,chatgpt,m1,D3,rev,inv,5,,,citada,5,D,1.0,,,
chatgpt|m1|D3|af|4,chatgpt,m1,D3,af,normal,4,,,citada,5,C,1.0,,,
chatgpt|m1|D3|af|7,chatgpt,m1,D3,af,inv,7,,,citada,5,C,1.0,,,
chatgpt|m1|D3|rev|8,chatgpt,m1,D3,rev,normal,8,,,citada,5,D,1.0,,,
chatgpt|m1|D3|rev|9,chatgpt,m1,D3,rev,inv,9,,,citada,5,D,1.0,,,
chatgpt|m1|D3|rev|12,chatgpt,m1,D3,rev,normal,12,,,citada,5,D,1.0,,,
chatgpt|m1|D3|af|10,chatgpt,m1,D3,af,inv,10,,,citada,5,C,1.0,,,
chatgpt|m1|D3|rev|13,chatgpt,m1,D3,rev,normal,13,,,citada,5,D,1.0,,,
chatgpt|m1|D3|af|11,chatgpt,m1,D3,af,inv,11,,,citada,5,C,1.0,,,
chatgpt|m1|D3|af|14,chatgpt,m1,D3,af,normal,14,,,citada,5,C,1.0,,,
chatgpt|m1|D4|af|0,chatgpt,m1,D4,af,inv,0,,,citada,5,D,-1.0,,,
chatgpt|m1|D4|rev|2,chatgpt,m1,D4,rev,inv,2,,,citada,5,D,1.0,,,
chatgpt|m1|D4|rev|1,chatgpt,m1,D4,rev,normal,1,,,citada,5,C,-1.0,,,
chatgpt|m1|D4|rev|4,chatgpt,m1,D4,rev,inv,4,,,citada,5,D,1.0,,,
chatgpt|m1|D4|rev|5,chatgpt,m1,D4,rev,inv,5,,,citada,5,C,-1.0,,,
chatgpt|m1|D4|af|3,chatgpt,m1,D4,af,normal,3,,,citada,5,D,-1.0,,,
chatgpt|m1|D4|rev|9,chatgpt,m1,D4,rev,inv,9,,,citada,5,C,-1.0,,,
chatgpt|m1|D4|af|8,chatgpt,m1,D4,af,inv,8,,,citada,5,D,-1.0,,,
chatgpt|m1|D4|af|12,chatgpt,m1,D4,af,inv,12,,,citada,5,D,-1.0,,,
chatgpt|m1|D4|af|7,chatgpt,m1,D4,af,normal,7,,,citada,5,D,-1.0,,,
chatgpt|m1|D4|af|11,chatgpt,m1,D4,af,normal,11,,,citada,5,D,-1.0,,,
chatgpt|m1|D4|af|10,chatgpt,m1,D4,af,normal,10,,,citada,5,C,1.0,,,
chatgpt|m1|D4|rev|14,chatgpt,m1,D4,rev,normal,14,,,citada,5,D,1.0,,,
chatgpt|m1|D5|rev|0,chatgpt,m1,D5,rev,inv,0,,,citada,5,D,1.0,,,
chatgpt|m1|D4|af|6,chatgpt,m1,D4,af,normal,6,,,citada,5,C,1.0,,,
chatgpt|m1|D4|rev|13,chatgpt,m1,D4,rev,normal,13,,,citada,5,D,1.0,,,
chatgpt|m1|D5|af|1,chatgpt,m1,D5,af,normal,1,,,citada,5,CT,2.0,,,
chatgpt|m1|D5|af|3,chatgpt,m1,D5,af,inv,3,,,citada,5,C,1.0,,,
chatgpt|m1|D5|af|2,chatgpt,m1,D5,af,normal,2,,,citada,5,C,1.0,,,
chatgpt|m1|D5|rev|6,chatgpt,m1,D5,rev,inv,6,,,citada,5,DT,2.0,,,
chatgpt|m1|D5|af|5,chatgpt,m1,D5,af,inv,5,,,citada,5,C,1.0,,,
chatgpt|m1|D5|rev|7,chatgpt,m1,D5,rev,normal,7,,,citada,5,D,1.0,,,
chatgpt|m1|D5|rev|8,chatgpt,m1,D5,rev,inv,8,,,citada,5,D,1.0,,,
chatgpt|m1|D5|rev|9,chatgpt,m1,D5,rev,inv,9,,,citada,5,D,1.0,,,
chatgpt|m1|D5|rev|4,chatgpt,m1,D5,rev,normal,4,,,citada,5,DT,2.0,,,
chatgpt|m1|D5|af|12,chatgpt,m1,D5,af,inv,12,,,citada,5,C,1.0,,,
chatgpt|m1|D5|rev|11,chatgpt,m1,D5,rev,normal,11,,,citada,5,DT,2.0,,,
chatgpt|m1|D5|af|10,chatgpt,m1,D5,af,normal,10,,,citada,5,C,1.0,,,
chatgpt|m1|D6|af|0,chatgpt,m1,D6,af,inv,0,,,citada,5,C,1.0,,,
chatgpt|m1|D6|rev|3,chatgpt,m1,D6,rev,normal,3,,,citada,5,D,1.0,,,
chatgpt|m1|D5|af|13,chatgpt,m1,D5,af,normal,13,,,citada,5,C,1.0,,,
chatgpt|m1|D6|af|1,chatgpt,m1,D6,af,normal,1,,,citada,5,C,1.0,,,
chatgpt|m1|D5|af|14,chatgpt,m1,D5,af,normal,14,,,citada,5,C,1.0,,,
chatgpt|m1|D6|af|4,chatgpt,m1,D6,af,inv,4,,,citada,5,C,1.0,,,
chatgpt|m1|D6|af|7,chatgpt,m1,D6,af,inv,7,,,citada,5,C,1.0,,,
chatgpt|m1|D6|af|2,chatgpt,m1,D6,af,inv,2,,,citada,5,C,1.0,,,
chatgpt|m1|D6|rev|8,chatgpt,m1,D6,rev,normal,8,,,citada,5,D,1.0,,,
chatgpt|m1|D6|rev|6,chatgpt,m1,D6,rev,normal,6,,,citada,5,D,1.0,,,
chatgpt|m1|D6|rev|5,chatgpt,m1,D6,rev,inv,5,,,citada,5,D,1.0,,,
chatgpt|m1|D6|rev|10,chatgpt,m1,D6,rev,normal,10,,,citada,5,D,1.0,,,
chatgpt|m1|D6|af|11,chatgpt,m1,D6,af,normal,11,,,citada,5,C,1.0,,,
chatgpt|m1|D6|af|12,chatgpt,m1,D6,af,inv,12,,,citada,5,C,1.0,,,
chatgpt|m1|D6|rev|9,chatgpt,m1,D6,rev,normal,9,,,citada,5,D,1.0,,,
chatgpt|m1|D6|af|14,chatgpt,m1,D6,af,normal,14,,,citada,5,C,1.0,,,
chatgpt|m1|D7|af|0,chatgpt,m1,D7,af,normal,0,,,citada,5,C,1.0,,,
chatgpt|m1|D6|rev|13,chatgpt,m1,D6,rev,inv,13,,,citada,5,D,1.0,,,
chatgpt|m1|D7|rev|1,chatgpt,m1,D7,rev,inv,1,,,citada,5,D,1.0,,,
chatgpt|m1|D7|af|3,chatgpt,m1,D7,af,normal,3,,,citada,5,C,1.0,,,
chatgpt|m1|D7|rev|2,chatgpt,m1,D7,rev,inv,2,,,citada,5,D,1.0,,,
chatgpt|m1|D7|rev|4,chatgpt,m1,D7,rev,normal,4,,,citada,5,D,1.0,,,
chatgpt|m1|D7|rev|7,chatgpt,m1,D7,rev,inv,7,,,citada,5,D,1.0,,,
chatgpt|m1|D7|af|9,chatgpt,m1,D7,af,normal,9,,,citada,5,C,1.0,,,
chatgpt|m1|D7|af|5,chatgpt,m1,D7,af,inv,5,,,citada,5,C,1.0,,,
chatgpt|m1|D7|af|8,chatgpt,m1,D7,af,normal,8,,,citada,5,C,1.0,,,
chatgpt|m1|D7|rev|6,chatgpt,m1,D7,rev,normal,6,,,citada,5,D,1.0,,,
chatgpt|m1|D7|rev|12,chatgpt,m1,D7,rev,inv,12,,,citada,5,D,1.0,,,
chatgpt|m1|D7|af|10,chatgpt,m1,D7,af,normal,10,,,citada,5,C,1.0,,,
chatgpt|m1|D7|af|11,chatgpt,m1,D7,af,inv,11,,,citada,5,C,1.0,,,
chatgpt|m1|D1|af|7,chatgpt,m1,D1,af,inv,7,,,citada,5,C,1.0,,,
chatgpt|m1|D7|af|13,chatgpt,m1,D7,af,normal,13,,,citada,5,C,1.0,,,
chatgpt|m1|D7|rev|14,chatgpt,m1,D7,rev,inv,14,,,citada,5,D,1.0,,,
chatgpt|m1|D1|af|9,chatgpt,m1,D1,af,normal,9,,,citada,5,C,1.0,,,
chatgpt|m1|D1|af|11,chatgpt,m1,D1,af,inv,11,,,citada,5,C,1.0,,,
chatgpt|m1|D1|af|12,chatgpt,m1,D1,af,normal,12,,,citada,5,C,1.0,,,
chatgpt|m1|D1|af|8,chatgpt,m1,D1,af,normal,8,,,citada,5,C,1.0,,,
chatgpt|m1|D1|rev|13,chatgpt,m1,D1,rev,inv,13,,,citada,5,D,1.0,,,
chatgpt|m1|D1|af|10,chatgpt,m1,D1,af,inv,10,,,citada,5,C,1.0,,,
chatgpt|m1|D1|af|5,chatgpt,m1,D1,af,normal,5,,,citada,5,C,1.0,,,
chatgpt|m1|D1|rev|14,chatgpt,m1,D1,rev,normal,14,,,citada,5,D,1.0,,,
chatgpt|m1|D1|rev|4,chatgpt,m1,D1,rev,inv,4,,,citada,5,D,1.0,,,
chatgpt|m1|D1|rev|6,chatgpt,m1,D1,rev,normal,6,,,citada,5,D,1.0,,,
chatgpt|m10|-|-|0,chatgpt,m10,-,-,-,0,,,citada,5,EA,,EA,0.0,
chatgpt|m10|-|-|3,chatgpt,m10,-,-,-,3,,,citada,5,PR,,PR,0.0,
chatgpt|m10|-|-|1,chatgpt,m10,-,-,-,1,,,citada,5,EA,,EA,0.0,
chatgpt|m10|-|-|2,chatgpt,m10,-,-,-,2,,,citada,5,PR,,PR,0.0,
chatgpt|m10|-|-|5,chatgpt,m10,-,-,-,5,,,citada,5,PR,,PR,0.0,
chatgpt|m2|D1|L|1,chatgpt,m2,D1,-,LF,1,chatgpt|m2|D1|i1,L,citada,5,NUM,8.0,,,
chatgpt|m2|D1|F|2,chatgpt,m2,D1,-,FL,2,chatgpt|m2|D1|i2,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|3,chatgpt,m2,D1,-,FL,3,chatgpt|m2|D1|i3,F,citada,5,NUM,4.0,,,
chatgpt|m2|D1|F|4,chatgpt,m2,D1,-,FL,4,chatgpt|m2|D1|i4,F,citada,5,NUM,4.0,,,
chatgpt|m2|D1|F|1,chatgpt,m2,D1,-,LF,1,chatgpt|m2|D1|i1,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|2,chatgpt,m2,D1,-,FL,2,chatgpt|m2|D1|i2,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|3,chatgpt,m2,D1,-,FL,3,chatgpt|m2|D1|i3,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|6,chatgpt,m2,D1,-,LF,6,chatgpt|m2|D1|i6,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|5,chatgpt,m2,D1,-,LF,5,chatgpt|m2|D1|i5,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|7,chatgpt,m2,D1,-,LF,7,chatgpt|m2|D1|i7,L,citada,5,NUM,6.0,,,
chatgpt|m2|D1|L|4,chatgpt,m2,D1,-,FL,4,chatgpt|m2|D1|i4,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|6,chatgpt,m2,D1,-,LF,6,chatgpt|m2|D1|i6,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|5,chatgpt,m2,D1,-,LF,5,chatgpt|m2|D1|i5,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|8,chatgpt,m2,D1,-,FL,8,chatgpt|m2|D1|i8,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|7,chatgpt,m2,D1,-,LF,7,chatgpt|m2|D1|i7,F,citada,5,NUM,4.0,,,
chatgpt|m2|D1|L|9,chatgpt,m2,D1,-,LF,9,chatgpt|m2|D1|i9,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|8,chatgpt,m2,D1,-,FL,8,chatgpt|m2|D1|i8,L,citada,5,NUM,6.0,,,
chatgpt|m2|D1|F|11,chatgpt,m2,D1,-,FL,11,chatgpt|m2|D1|i11,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|12,chatgpt,m2,D1,-,LF,12,chatgpt|m2|D1|i12,L,citada,5,NUM,6.0,,,
chatgpt|m2|D1|L|10,chatgpt,m2,D1,-,LF,10,chatgpt|m2|D1|i10,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|9,chatgpt,m2,D1,-,LF,9,chatgpt|m2|D1|i9,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|11,chatgpt,m2,D1,-,FL,11,chatgpt|m2|D1|i11,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|12,chatgpt,m2,D1,-,LF,12,chatgpt|m2|D1|i12,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|10,chatgpt,m2,D1,-,LF,10,chatgpt|m2|D1|i10,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|13,chatgpt,m2,D1,-,LF,13,chatgpt|m2|D1|i13,L,citada,5,NUM,5.0,,,
chatgpt|m2|D1|F|14,chatgpt,m2,D1,-,FL,14,chatgpt|m2|D1|i14,F,citada,5,NUM,5.0,,,
chatgpt|m2|D1|L|14,chatgpt,m2,D1,-,FL,14,chatgpt|m2|D1|i14,L,citada,5,NUM,6.0,,,
chatgpt|m2|D1|F|13,chatgpt,m2,D1,-,LF,13,chatgpt|m2|D1|i13,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|L|0,chatgpt,m2,D2,-,LF,0,chatgpt|m2|D2|i0,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|L|1,chatgpt,m2,D2,-,LF,1,chatgpt|m2|D2|i1,L,citada,5,NUM,6.0,,,
chatgpt|m2|D2|F|0,chatgpt,m2,D2,-,LF,0,chatgpt|m2|D2|i0,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|F|2,chatgpt,m2,D2,-,FL,2,chatgpt|m2|D2|i2,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|F|1,chatgpt,m2,D2,-,LF,1,chatgpt|m2|D2|i1,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|L|3,chatgpt,m2,D2,-,LF,3,chatgpt|m2|D2|i3,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|L|2,chatgpt,m2,D2,-,FL,2,chatgpt|m2|D2|i2,L,citada,5,NUM,5.0,,,
chatgpt|m2|D2|L|4,chatgpt,m2,D2,-,LF,4,chatgpt|m2|D2|i4,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|F|4,chatgpt,m2,D2,-,LF,4,chatgpt|m2|D2|i4,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|L|5,chatgpt,m2,D2,-,LF,5,chatgpt|m2|D2|i5,L,citada,5,NUM,6.0,,,
chatgpt|m2|D2|F|3,chatgpt,m2,D2,-,LF,3,chatgpt|m2|D2|i3,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|F|6,chatgpt,m2,D2,-,FL,6,chatgpt|m2|D2|i6,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|L|7,chatgpt,m2,D2,-,LF,7,chatgpt|m2|D2|i7,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|F|5,chatgpt,m2,D2,-,LF,5,chatgpt|m2|D2|i5,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|F|8,chatgpt,m2,D2,-,FL,8,chatgpt|m2|D2|i8,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|L|6,chatgpt,m2,D2,-,FL,6,chatgpt|m2|D2|i6,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|F|9,chatgpt,m2,D2,-,FL,9,chatgpt|m2|D2|i9,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|F|10,chatgpt,m2,D2,-,FL,10,chatgpt|m2|D2|i10,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|F|7,chatgpt,m2,D2,-,LF,7,chatgpt|m2|D2|i7,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|L|9,chatgpt,m2,D2,-,FL,9,chatgpt|m2|D2|i9,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|L|8,chatgpt,m2,D2,-,FL,8,chatgpt|m2|D2|i8,L,citada,5,NUM,6.0,,,
chatgpt|m2|D2|L|10,chatgpt,m2,D2,-,FL,10,chatgpt|m2|D2|i10,L,citada,5,NUM,6.0,,,
chatgpt|m2|D2|F|12,chatgpt,m2,D2,-,FL,12,chatgpt|m2|D2|i12,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|L|13,chatgpt,m2,D2,-,LF,13,chatgpt|m2|D2|i13,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|F|11,chatgpt,m2,D2,-,FL,11,chatgpt|m2|D2|i11,F,citada,5,NUM,4.0,,,
chatgpt|m2|D2|L|12,chatgpt,m2,D2,-,FL,12,chatgpt|m2|D2|i12,L,citada,5,NUM,7.0,,,
chatgpt|m2|D2|F|13,chatgpt,m2,D2,-,LF,13,chatgpt|m2|D2|i13,F,citada,5,NUM,5.0,,,
chatgpt|m2|D2|L|14,chatgpt,m2,D2,-,LF,14,chatgpt|m2|D2|i14,L,citada,5,NUM,6.0,,,
chatgpt|m2|D2|L|11,chatgpt,m2,D2,-,FL,11,chatgpt|m2|D2|i11,L,citada,5,NUM,6.0,,,
chatgpt|m2|D2|F|14,chatgpt,m2,D2,-,LF,14,chatgpt|m2|D2|i14,F,citada,5,NUM,5.0,,,
chatgpt|m2|D3|F|1,chatgpt,m2,D3,-,FL,1,chatgpt|m2|D3|i1,F,citada,5,NUM,5.0,,,
chatgpt|m2|D3|F|0,chatgpt,m2,D3,-,FL,0,chatgpt|m2|D3|i0,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|2,chatgpt,m2,D3,-,LF,2,chatgpt|m2|D3|i2,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|F|3,chatgpt,m2,D3,-,FL,3,chatgpt|m2|D3|i3,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|1,chatgpt,m2,D3,-,FL,1,chatgpt|m2|D3|i1,L,citada,5,NUM,7.0,,,
chatgpt|m2|D3|L|0,chatgpt,m2,D3,-,FL,0,chatgpt|m2|D3|i0,L,citada,5,NUM,7.0,,,
chatgpt|m2|D3|L|3,chatgpt,m2,D3,-,FL,3,chatgpt|m2|D3|i3,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|F|2,chatgpt,m2,D3,-,LF,2,chatgpt|m2|D3|i2,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|4,chatgpt,m2,D3,-,LF,4,chatgpt|m2|D3|i4,L,citada,5,NUM,7.0,,,
chatgpt|m2|D3|L|5,chatgpt,m2,D3,-,LF,5,chatgpt|m2|D3|i5,L,citada,5,NUM,7.0,,,
chatgpt|m2|D3|F|6,chatgpt,m2,D3,-,FL,6,chatgpt|m2|D3|i6,F,citada,5,NUM,5.0,,,
chatgpt|m2|D3|L|7,chatgpt,m2,D3,-,LF,7,chatgpt|m2|D3|i7,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|F|4,chatgpt,m2,D3,-,LF,4,chatgpt|m2|D3|i4,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|F|5,chatgpt,m2,D3,-,LF,5,chatgpt|m2|D3|i5,F,citada,5,NUM,5.0,,,
chatgpt|m2|D3|L|6,chatgpt,m2,D3,-,FL,6,chatgpt|m2|D3|i6,L,citada,5,NUM,7.0,,,
chatgpt|m2|D3|F|7,chatgpt,m2,D3,-,LF,7,chatgpt|m2|D3|i7,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|8,chatgpt,m2,D3,-,LF,8,chatgpt|m2|D3|i8,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|L|9,chatgpt,m2,D3,-,LF,9,chatgpt|m2|D3|i9,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|L|10,chatgpt,m2,D3,-,LF,10,chatgpt|m2|D3|i10,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|F|8,chatgpt,m2,D3,-,LF,8,chatgpt|m2|D3|i8,F,citada,5,NUM,5.0,,,
chatgpt|m2|D3|F|11,chatgpt,m2,D3,-,FL,11,chatgpt|m2|D3|i11,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|F|9,chatgpt,m2,D3,-,LF,9,chatgpt|m2|D3|i9,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|F|10,chatgpt,m2,D3,-,LF,10,chatgpt|m2|D3|i10,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|11,chatgpt,m2,D3,-,FL,11,chatgpt|m2|D3|i11,L,citada,5,NUM,7.0,,,
chatgpt|m2|D3|F|14,chatgpt,m2,D3,-,FL,14,chatgpt|m2|D3|i14,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|F|13,chatgpt,m2,D3,-,FL,13,chatgpt|m2|D3|i13,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|12,chatgpt,m2,D3,-,LF,12,chatgpt|m2|D3|i12,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|L|14,chatgpt,m2,D3,-,FL,14,chatgpt|m2|D3|i14,L,citada,5,NUM,6.0,,,
chatgpt|m2|D3|F|12,chatgpt,m2,D3,-,LF,12,chatgpt|m2|D3|i12,F,citada,5,NUM,4.0,,,
chatgpt|m2|D3|L|13,chatgpt,m2,D3,-,FL,13,chatgpt|m2|D3|i13,L,citada,5,NUM,6.0,,,
chatgpt|m2|D4|L|1,chatgpt,m2,D4,-,LF,1,chatgpt|m2|D4|i1,L,citada,5,NUM,5.0,,,
chatgpt|m2|D4|F|0,chatgpt,m2,D4,-,FL,0,chatgpt|m2|D4|i0,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|2,chatgpt,m2,D4,-,LF,2,chatgpt|m2|D4|i2,L,citada,5,NUM,5.0,,,
chatgpt|m2|D4|F|1,chatgpt,m2,D4,-,LF,1,chatgpt|m2|D4|i1,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|0,chatgpt,m2,D4,-,FL,0,chatgpt|m2|D4|i0,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|3,chatgpt,m2,D4,-,FL,3,chatgpt|m2|D4|i3,F,citada,5,NUM,5.0,,,
chatgpt|m2|D4|F|2,chatgpt,m2,D4,-,LF,2,chatgpt|m2|D4|i2,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|3,chatgpt,m2,D4,-,FL,3,chatgpt|m2|D4|i3,L,citada,5,NUM,6.0,,,
chatgpt|m2|D4|F|4,chatgpt,m2,D4,-,FL,4,chatgpt|m2|D4|i4,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|5,chatgpt,m2,D4,-,LF,5,chatgpt|m2|D4|i5,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|6,chatgpt,m2,D4,-,FL,6,chatgpt|m2|D4|i6,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|4,chatgpt,m2,D4,-,FL,4,chatgpt|m2|D4|i4,L,citada,5,NUM,5.0,,,
chatgpt|m2|D4|F|5,chatgpt,m2,D4,-,LF,5,chatgpt|m2|D4|i5,F,citada,5,NUM,5.0,,,
chatgpt|m2|D4|L|7,chatgpt,m2,D4,-,LF,7,chatgpt|m2|D4|i7,L,citada,5,NUM,5.0,,,
chatgpt|m2|D4|L|6,chatgpt,m2,D4,-,FL,6,chatgpt|m2|D4|i6,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|9,chatgpt,m2,D4,-,FL,9,chatgpt|m2|D4|i9,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|7,chatgpt,m2,D4,-,LF,7,chatgpt|m2|D4|i7,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|8,chatgpt,m2,D4,-,FL,8,chatgpt|m2|D4|i8,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|10,chatgpt,m2,D4,-,FL,10,chatgpt|m2|D4|i10,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|9,chatgpt,m2,D4,-,FL,9,chatgpt|m2|D4|i9,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|11,chatgpt,m2,D4,-,LF,11,chatgpt|m2|D4|i11,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|8,chatgpt,m2,D4,-,FL,8,chatgpt|m2|D4|i8,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|10,chatgpt,m2,D4,-,FL,10,chatgpt|m2|D4|i10,L,citada,5,NUM,5.0,,,
chatgpt|m2|D4|L|12,chatgpt,m2,D4,-,LF,12,chatgpt|m2|D4|i12,L,citada,5,NUM,5.0,,,
chatgpt|m2|D4|F|11,chatgpt,m2,D4,-,LF,11,chatgpt|m2|D4|i11,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|13,chatgpt,m2,D4,-,LF,13,chatgpt|m2|D4|i13,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|L|14,chatgpt,m2,D4,-,LF,14,chatgpt|m2|D4|i14,L,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|12,chatgpt,m2,D4,-,LF,12,chatgpt|m2|D4|i12,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|13,chatgpt,m2,D4,-,LF,13,chatgpt|m2|D4|i13,F,citada,5,NUM,4.0,,,
chatgpt|m2|D4|F|14,chatgpt,m2,D4,-,LF,14,chatgpt|m2|D4|i14,F,citada,5,NUM,4.0,,,
chatgpt|m2|D5|L|0,chatgpt,m2,D5,-,LF,0,chatgpt|m2|D5|i0,L,citada,5,NUM,6.0,,,
